generation,num_eval,local_i,time,f_sur,f_IC,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
6,26,600,1.8450636863708496,-597.2448029392312,0.0,0.034050565212965,-3.5024001598358154,-1.142251968383789,1.0087512731552124,0.8852165937423706,2.5007030963897705,1.1696205139160156,-0.1917918920516967,-0.2433420419692993,1.875825047492981
6,26,700,2.003638982772827,-574.0183243841111,0.0,0.283446192741394,-3.1657309532165527,-1.26842999458313,0.6257739067077637,0.8667942881584167,2.5225307941436768,1.0341988801956177,-0.3133397996425628,0.0726281180977821,1.9829564094543457
6,26,800,1.968732833862305,-658.4063267763613,0.0,-0.1933759152889251,-3.4518373012542725,-1.463647723197937,1.069616436958313,0.9282044768333436,2.547556638717652,1.274055004119873,-0.0473618954420089,-0.2519018650054931,2.2020535469055176
6,26,900,1.9657411575317385,-685.1502844784485,0.0,-0.460898756980896,-2.114300489425659,-2.3911328315734863,0.83488529920578,1.2141317129135132,3.026183605194092,1.3714251518249512,0.0839370414614677,0.2531943023204803,2.378173351287842
7,29,0,1.8939323425292969,-519.2574270204348,0.0,0.3981648683547973,-2.7639851570129395,-1.2532553672790527,0.3212952315807342,1.2336480617523191,2.48154878616333,1.2450960874557495,-0.406925767660141,0.3429362773895263,1.9122302532196045
7,29,100,1.890939235687256,-696.0392063783182,0.0,-0.7438349723815918,-2.4231598377227783,-2.276872158050537,1.159685492515564,1.4681265354156494,2.8752458095550537,1.7095909118652344,0.2374297082424163,-0.0589002855122089,2.451784610748291
7,29,200,1.8400766849517824,-644.426472920891,0.0,0.01176368445158,-3.1242830753326416,-1.5868864059448242,1.1343079805374146,0.9527767896652222,2.893301248550415,1.0684915781021118,-0.0685661137104034,-0.0490562580525875,1.7169146537780762
7,29,300,1.9807007312774656,-626.5692615131577,0.0,-0.0266999807208776,-2.9726505279541016,-1.6176828145980835,1.1054266691207886,1.054664134979248,2.9143898487091064,1.1877326965332031,-0.0560354031622409,0.0149145890027284,1.6756283044815063
7,29,400,1.951777696609497,-598.9506971604887,0.0,-0.0056355246342718,-3.1811976432800293,-1.3612490892410278,1.033938765525818,1.1920832395553589,2.715369462966919,1.3655078411102295,-0.0963956788182258,-0.0985946357250213,1.736192226409912
7,29,500,1.971723556518555,-632.335927049762,0.0,-0.2360956072807312,-2.552969455718994,-2.2514355182647705,1.8749840259552,0.4908186793327331,2.330704689025879,1.2259221076965332,0.0352203138172626,0.2069358080625534,2.176236152648926
7,29,600,2.018599510192871,-546.9639636376132,0.0,-0.1738930344581604,-3.2982780933380127,-1.1156392097473145,0.8637766242027283,0.69237220287323,2.6203596591949463,1.4199367761611938,-0.2811187207698822,-0.3453003466129303,1.5024840831756592
7,29,700,1.96574068069458,-634.3950320314095,0.0,-0.0315108299255371,-3.3053879737854004,-1.4310665130615234,1.0654040575027466,1.0786868333816528,2.718313694000244,1.2595816850662231,-0.1077107042074203,-0.1431492269039154,1.845727562904358
7,29,800,1.9418048858642576,-598.9445222143509,0.0,-0.0584331601858139,-3.286778211593628,-1.3188281059265137,1.038330316543579,1.1461328268051147,2.5990467071533203,1.3578540086746216,-0.1172679290175437,-0.1334334313869476,1.849542021751404
